Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Nissan;Jetta;2016;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Tubo de escape com vazamento  sensor de oxignio com defeito.;Substituio do sensor de oxignio;463;Sistema de Escape;Crítica;1 dia
Mazda;A4;2017;Código de advertência de falha de ignição do motor P0352;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1025;Sistema de Escape;Média;1 dia
Honda;XC60;2017;O motor est funcionando com pouca potncia.;Falha no sensor de airbags;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;396;Direção;Média;4 horas
Hyundai;Encore;2016;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Falha no conversor de torque;Substituiu o motor de arranque ou consertou a emenda J308;1944;Suspensão;Crítica;1 dia
Jeep;Jetta;2020;Superaquecimento do motor;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1762;Direção;Crítica;1 dia
Toyota;Cruze;2018;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1856;Transmissão;Média;1 semana
Kia;Wrangler;2017;Bateria no est sendo carregada pelo alternador.;Amortecedores desgastados;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;2091;Sistema de Arrefecimento;Média;1 dia
Jeep;Sedona;2019;Cmbio travado;Bobina de ignio com falha;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1351;Sistema de Arrefecimento;Média;3 dias
Cadillac;Santa Fe;2015;Transmisso com falha;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1086;Freios;Crítica;4 horas
Jeep;Santa Fe;2015;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1103;Suspensão;Crítica;1 dia
Jeep;Elantra;2018;Baixo consumo de energia;Sensores de nvel de combustvel;Substituio do compressor de ar;950;Freios;Média;4 horas
Mercedes;Sierra;2015;Falha no sistema de airbags;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;1741;Freios;Média;3 dias
Mitsubishi;Accord;2021;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bomba da direo hidrulica com defeito;Substituio do compressor de ar;2400;Freios;Média;1 dia
Jaguar;3;2012;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Falha no conversor de torque;Limpeza do radiador;749;Transmissão;Média;4 horas
Volvo;Cruze;2018;Bateria no est sendo carregada pelo alternador.;Bomba da direo hidrulica com defeito;Troca da bateria;2475;Sistema de Arrefecimento;Média;4 horas
GMC;C-Class;2010;Código de advertência de falha de ignição do motor P0352;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Limpeza do radiador;2187;Sistema de Arrefecimento;Média;4 horas
Volkswagen;Wrangler;2018; necessrio redefinir o ciclo de conduo do monitor DTC;Tubo de escape com vazamento  sensor de oxignio com defeito.;Reparo no conversor de torque;1516;Suspensão;Média;2 dias
Honda;Focus;2015;Ar condicionado não está gelando;Compressor de ar defeituoso;Fluido de transmisso automtica substitudo/lavado;1086;Sistema de Escape;Média;4 horas
BMW;Elantra;2021;Ar condicionado não está gelando;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substituio do sensor de oxignio;328;Sistema de Arrefecimento;Média;2 dias
Mercedes;Escalade;2019;Sem manivela  No inicia;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1190;Motor;Média;1 dia
Mazda;Outback;2010;Código de advertência de falha de ignição do motor P0352;Falha na caixa de transmisso;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;2464;Freios;Média;1 dia
Kia;Wrangler;2018;O motor est funcionando com pouca potncia.;Compressor de ar condicionado (A/C);Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;305;Motor;Média;3 dias
Mazda;XC60;2021;Bateria no est sendo carregada pelo alternador.;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Troca da bateria;1209;Elétrico;Média;3 dias
Mitsubishi;Wrangler;2019;Direo pesada;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;487;Elétrico;Alta;1 dia
Chrysler;RLX;2012;Transmisso com falha;Amortecedores desgastados;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;464;Transmissão;Média;2 dias
Nissan;Ram 1500;2012;Luz de verificao do motor em marcha lenta alta;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Limpeza do radiador;1269;Freios;Crítica;1 dia
Buick;Santa Fe;2017;Bateria descarregada;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Fluido de transmisso automtica substitudo/lavado;1830;Sistema de Arrefecimento;Média;1 dia
Nissan;Infiniti FX35;2016; necessrio redefinir o ciclo de conduo do monitor DTC;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);517;Sistema de Escape;Crítica;1 dia
Chrysler;Outback;2016;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;687;Sistema de Escape;Média;4 horas
Kia;Ram 1500;2020;Ar condicionado no est gelando;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Troca da bateria;1382;Motor;Média;4 horas
Jeep;Wrangler;2019;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1749;Transmissão;Média;4 horas
Lexus;Escalade;2015;Motor superaquecendo;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1514;Suspensão;Média;4 horas
Audi;Wrangler;2015;Sem aquecimento;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1389;Direção;Média;2 dias
Infiniti;XC60;2021;Superaquecimento do motor;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Troca dos amortecedores;441;Suspensão;Crítica;1 dia
Jeep;Sedona;2020;Bateria descarregada;Bobina de ignição com falha;Substituio do sensor de oxignio;1880;Motor;Média;1 semana
Mitsubishi;XC60;2017;O motor est funcionando com pouca potncia.;Bomba da direo hidrulica com defeito;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1103;Motor;Baixa;4 horas
Jeep;Elantra;2019;Freios falhando;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substituiu o motor de arranque ou consertou a emenda J308;1944;Freios;Média;1 dia
Mercedes;Infiniti FX35;2012;Cdigo de advertncia P2096.;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);651;Sistema de Arrefecimento;Crítica;3 dias
Audi;F-150;2017;Freios falhando;Falha no conversor de torque;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);2464;Sistema de Escape;Crítica;4 horas
Chrysler;Encore;2018;Ar condicionado no est gelando;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;2206;Suspensão;Média;4 horas
Lexus;ES350;2017; necessrio redefinir o ciclo de conduo do monitor DTC;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1351;Direção;Crítica;4 horas
Nissan;Camry;2019;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Falha no sensor de airbags;Substituio do compressor de ar;1743;Sistema de Arrefecimento;Média;1 dia
Acura;3;2017;Sem energia, bateria descarregada;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Substituio do compressor de ar;687;Direção;Média;4 horas
Audi;Sedona;2018;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substituio do sensor de oxignio;1488;Transmissão;Média;4 horas
Hyundai;Ram 1500;2018;Ar condicionado no est gelando;Lista de componentes eltricos mestre;Troca da bomba da direo;1520;Motor;Média;3 dias
Hyundai;C-Class;2019;Sem manivela  No inicia;Bateria com baixa carga;Reparo na transmisso;1162;Elétrico;Crítica;4 horas
Acura;Accord;2012;Cdigo de advertncia P2096.;Radiador entupido;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;2262;Freios;Média;4 horas
Cadillac;Elantra;2015;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituio do sensor de oxignio;1005;Direção;Crítica;3 dias
Volvo;XJ 3.0;2021;Tremores do motor;Bomba da direo hidrulica com defeito;Reparo na transmisso;2084;Elétrico;Média;4 horas
BMW;Cruze;2010;Direo pesada;Falha no sensor de airbags;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;749;Sistema de Escape;Crítica;2 dias
Subaru;Sierra;2020;Superaquecimento do motor;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;955;Transmissão;Média;1 dia
BMW;F-150;2019;Superaquecimento do motor;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substituio do compressor de ar;2464;Suspensão;Crítica;4 horas
Acura;Accord;2016;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Compressor de ar condicionado (A/C);Reparo no conversor de torque;2187;Sistema de Arrefecimento;Média;4 horas
Ford;Focus;2019;Tremores do motor;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Troca da bomba da direo;1103;Elétrico;Média;4 horas
